,Name,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temperature,Min Temperature,Wind Speed
277,Bilma,0,NE,1574558719,17,18.69,12.92,76.5,76.5,7.9
278,Severo-Kurilsk,100,RU,1574558719,99,50.68,156.12,34.72,34.72,7.67
279,Atasu,68,KZ,1574558719,85,48.68,71.64,8.78,8.78,6.6
280,Yar-Sale,62,RU,1574558719,92,66.83,70.83,-11.74,-11.74,3.71
281,Melilla,75,EC,1574558720,88,-0.8,-80.23,75.2,75.2,10.29
282,Springbok,0,ZA,1574558720,63,-29.67,17.88,47.43,47.43,4.12
283,Borovskoy,60,KZ,1574558720,95,53.8,64.15,12.02,12.02,7.87
284,Umm Bab,1,QA,1574558720,67,25.21,50.81,62.6,62.6,7.0
285,Eydhafushi,37,MV,1574558720,78,5.1,73.07,83.59,83.59,17.13
286,Salalah,0,OM,1574558720,36,17.01,54.1,77.0,77.0,11.41
287,Awbari,0,LY,1574558721,21,26.59,12.77,61.86,61.86,0.96
288,Port Hardy,90,CA,1574558721,100,50.7,-127.42,48.2,48.2,4.7
289,Razole,0,IN,1574558721,88,16.48,81.84,68.77,68.77,2.89
290,Ulm,100,DE,1574558721,93,48.4,9.99,44.01,37.0,3.36
291,Tucurui,12,BR,1574558451,83,-3.77,-49.67,74.68,74.68,3.13
292,Vardo,90,US,1574558722,90,39.62,-77.74,39.2,35.6,4.7
293,Karachi,85,PK,1574558722,52,24.87,67.03,68.0,68.0,6.93
294,Balsas,62,BR,1574558698,80,-7.53,-46.04,77.04,77.04,3.13
295,Mokrousovo,98,RU,1574558722,96,55.81,66.77,14.67,14.67,7.65
296,Kutum,27,SD,1574558722,25,14.2,24.66,63.39,63.39,4.83
297,Balauseri,43,RO,1574558722,79,46.4,24.68,33.8,32.0,9.17
298,Dunedin,47,NZ,1574558432,76,-45.87,170.5,59.0,59.0,20.0
299,Udachnyy,98,RU,1574558723,67,66.42,112.4,-27.4,-27.4,2.24
300,Sorland,100,NO,1574558723,86,67.67,12.69,45.73,45.73,20.45
301,Klamath Falls,1,US,1574558723,56,42.22,-121.78,45.0,37.99,1.83
302,Snasa,89,NO,1574558723,97,64.25,12.38,29.98,29.98,4.68
303,Willowmore,21,ZA,1574558723,77,-33.3,23.49,53.01,53.01,1.52
304,Manavalakurichi,40,IN,1574558723,88,8.13,77.3,78.8,78.8,4.7
305,Rio Gallegos,20,AR,1574558523,76,-51.62,-69.22,51.8,51.8,32.21
306,Den Helder,90,NL,1574558706,100,52.96,4.76,43.0,39.0,9.17
307,Chokurdakh,85,RU,1574558724,99,70.62,147.9,-24.99,-24.99,8.7
308,Necochea,45,AR,1574558724,86,-38.55,-58.74,52.0,52.0,5.01
309,Sao Miguel do Araguaia,89,BR,1574558724,71,-13.28,-50.16,76.15,76.15,3.06
310,Atambua,26,ID,1574558724,62,-9.11,124.89,83.71,83.71,4.12
311,Champerico,40,MX,1574558725,69,16.38,-93.6,78.8,78.8,18.34
312,Zhangjiakou,45,CN,1574558725,31,40.77,114.88,12.42,12.42,22.7
313,Airai,0,TL,1574558725,35,-8.93,125.41,83.44,83.44,2.55
314,Haines Junction,79,CA,1574558725,90,60.75,-137.51,16.5,16.5,5.77
315,Laguna,30,BZ,1574558725,94,16.17,-88.94,77.0,77.0,2.44
316,Aksarka,74,RU,1574558725,85,66.56,67.8,-8.86,-8.86,0.2
317,Caraquet,1,CA,1574558725,63,47.79,-64.94,28.0,26.6,21.92
318,Progreso,40,UY,1574558726,59,-34.68,-56.22,66.0,60.01,11.41
319,Nampa,32,US,1574558726,52,43.57,-116.56,45.0,37.0,4.79
320,Beringovskiy,0,RU,1574558726,82,63.05,179.32,7.45,7.45,13.27
321,Gornyy,0,RU,1574558726,40,51.76,48.54,19.22,19.22,5.93
322,Benjamin Constant,75,BR,1574558726,100,-4.38,-70.03,75.2,75.2,4.7
323,Rio Grande,5,BR,1574558726,66,-32.03,-52.1,64.56,64.56,17.92
324,Wajir,89,KE,1574558727,73,1.75,40.07,80.22,80.22,10.56
325,Timra,100,SE,1574558727,100,62.49,17.33,39.0,37.4,4.7
326,Suratgarh,65,IN,1574558727,53,29.32,73.9,63.7,63.7,6.2
327,Thanh Hoa,75,VN,1574558727,78,10.21,106.33,82.4,82.4,3.65
328,Araouane,0,ML,1574558727,14,18.9,-3.53,69.93,69.93,5.66
329,Harper,1,US,1574558727,53,30.3,-99.24,60.01,51.01,4.7
330,Murgab,90,TM,1574558728,86,37.5,61.97,30.2,30.2,11.41
331,Port-Cartier,20,CA,1574558728,79,50.03,-66.88,24.8,24.8,3.36
332,Saint George,75,GR,1574558728,93,39.45,22.34,53.6,51.8,2.33
333,Nelson Bay,90,AU,1574558728,73,-32.72,152.14,71.6,69.01,4.23
334,Neuquen,40,AR,1574558728,46,-38.95,-68.06,69.8,69.8,6.93
335,Havelock,90,US,1574558650,87,34.88,-76.9,64.4,53.01,8.05
336,Nouakchott,0,MR,1574558729,59,18.08,-15.98,64.4,64.4,8.05
337,Tarko-Sale,0,RU,1574558729,97,64.92,77.78,-15.36,-15.36,10.47
338,Kiunga,71,PG,1574558729,59,-6.12,141.3,87.22,87.22,1.23
339,Vila Franca do Campo,75,PT,1574558729,88,37.72,-25.43,68.0,68.0,16.11
340,Camalu,99,MX,1574558730,46,30.85,-116.07,63.79,63.79,4.79
341,Djambala,63,CG,1574558730,91,-2.55,14.76,68.0,68.0,2.17
342,La Palma,66,CO,1574558730,93,5.36,-74.39,69.6,69.6,2.91
343,Havoysund,100,NO,1574558730,93,71.0,24.66,37.4,37.4,18.34
344,Saint-Pierre,100,FR,1574558730,87,48.95,4.24,42.8,35.01,5.82
345,Marsh Harbour,95,BS,1574558731,60,26.54,-77.06,75.06,75.06,9.84
346,Tezu,100,IN,1574558731,83,27.93,96.16,61.23,61.23,1.97
347,Lexington,90,US,1574558684,93,38.05,-84.5,39.99,37.0,13.87
348,Burnie,71,AU,1574558731,54,-41.05,145.91,60.01,60.01,7.0
349,Baruun-Urt,10,MN,1574558731,83,46.68,113.28,-6.99,-6.99,8.68
350,Yulara,67,AU,1574558731,7,-25.24,130.99,91.4,91.4,16.11
351,Srednekolymsk,97,RU,1574558731,97,67.46,153.71,-19.46,-19.46,2.71
352,Benghazi,68,LY,1574558732,55,32.12,20.07,67.41,67.41,20.78
353,Santa Fe,13,AR,1574558732,53,-31.62,-60.7,73.0,72.0,3.0
354,Jumla,1,NP,1574558732,59,29.28,82.18,36.09,36.09,4.83
355,Del Rio,1,US,1574558732,34,29.36,-100.9,66.2,59.0,5.82
356,Clyde River,75,CA,1574558732,85,70.47,-68.59,23.0,23.0,11.41
357,Newport,90,GB,1574558553,93,51.59,-3.0,48.99,46.99,3.36
358,Belmonte,42,PT,1574558598,95,40.36,-7.35,45.0,39.0,5.73
359,Kalmar,99,SE,1574558733,93,56.66,16.36,41.0,39.0,12.75
360,Adrar,1,DZ,1574558535,42,27.87,-0.29,62.6,62.6,8.05
361,Port-Gentil,43,GA,1574558733,85,-0.72,8.78,80.42,80.42,15.59
362,Vostok,92,RU,1574558733,81,46.45,135.83,20.75,20.75,4.65
363,Kattivakkam,75,IN,1574558734,94,13.22,80.32,77.0,75.2,2.24
364,Coihaique,95,CL,1574558734,48,-45.58,-72.07,60.8,60.8,3.36
365,Chara,75,GR,1574558734,93,39.42,22.43,53.6,51.8,2.33
366,Bathsheba,20,BB,1574558737,74,13.22,-59.52,82.4,82.4,12.75
367,Pevek,100,RU,1574558739,99,69.7,170.27,-11.38,-11.38,4.85
368,Virginia Beach,90,US,1574558524,93,36.85,-75.98,53.01,46.99,8.05
369,Rae Bareli,100,IN,1574558739,61,26.22,81.25,66.67,66.67,6.29
370,Kangaatsiaq,100,GL,1574558739,69,68.31,-53.46,35.44,35.44,22.35
371,Damaturu,11,NG,1574558739,18,11.75,11.96,78.62,78.62,6.69
372,Vila Velha,75,BR,1574558739,78,-3.71,-38.6,86.0,81.0,10.29
373,Bambous Virieux,75,MU,1574558740,88,-20.34,57.76,77.0,77.0,9.1
374,Yumen,0,CN,1574558740,30,40.29,97.04,8.67,8.67,15.48
375,Mahina,0,ML,1574558740,20,13.76,-10.85,78.78,78.78,5.19
376,Ewa Beach,20,US,1574558740,65,21.32,-158.01,82.4,75.0,14.99
377,Hobyo,35,SO,1574558740,80,5.35,48.53,79.11,79.11,16.08
378,Codrington,40,AU,1574558741,40,-28.95,153.24,88.0,80.6,11.41
379,Arlit,12,NE,1574558741,18,18.74,7.39,79.66,79.66,7.7
380,Meulaboh,100,ID,1574558741,83,4.14,96.13,79.93,79.93,7.18
381,Vitim,100,RU,1574558741,95,59.44,112.57,-3.75,-3.75,9.19
382,Aksu,86,KZ,1574558741,84,52.04,76.93,1.4,1.4,6.71
383,Pathein,0,MM,1574558741,83,16.78,94.73,75.11,75.11,6.49
384,Neepawa,75,CA,1574558741,80,50.23,-99.46,35.6,35.6,14.99
385,Colquechaca,92,BO,1574558742,89,-18.7,-66.0,47.88,47.88,6.38
386,Rome,75,IT,1574558742,87,41.89,12.48,57.99,48.99,11.41
387,Ahipara,0,NZ,1574558742,61,-35.17,173.16,86.0,86.0,18.92
388,Iquitos,75,PE,1574558460,94,-3.75,-73.25,71.6,71.6,2.24
389,Zyryanka,100,RU,1574558742,98,65.73,150.89,-17.39,-17.39,7.96
390,Diego de Almagro,0,CL,1574558742,65,-26.39,-70.05,59.58,59.58,3.4
391,Zacapa,16,GT,1574558742,1,14.97,-89.53,73.0,73.0,4.14
392,Hirado,75,JP,1574558743,93,33.32,129.49,62.6,60.01,16.11
393,Victor Harbor,0,AU,1574558743,49,-35.55,138.62,75.0,68.0,9.17
394,Palmer,1,AU,1574558743,49,-34.85,139.16,75.0,68.0,9.17
395,Ambilobe,93,MG,1574558743,87,-13.19,49.05,76.8,76.8,6.6
396,Freeport,75,BS,1574558743,73,26.54,-78.7,73.4,73.4,4.7
397,Inhambane,18,MZ,1574558743,87,-23.87,35.38,78.78,78.78,16.17
398,Kasama,94,ZM,1574558744,93,-10.21,31.19,64.38,64.38,1.34
399,Le Vauclin,20,MQ,1574558744,94,14.55,-60.84,78.8,77.0,2.24
400,Kruisfontein,9,ZA,1574558744,89,-34.0,24.73,56.3,56.3,5.46
401,Kalaleh,3,IR,1574558744,93,37.38,55.49,37.4,35.6,2.24
402,Beyneu,0,KZ,1574558744,42,45.32,55.19,21.51,21.51,6.98
403,Kalmunai,100,LK,1574558744,73,7.42,81.82,83.5,83.5,10.69
404,Acapulco,40,MX,1574558745,78,16.86,-99.88,82.4,82.4,2.24
405,Lishan,31,CN,1574558745,98,24.07,102.75,48.52,48.52,1.25
406,Natal,75,BR,1574558745,78,-5.81,-35.21,78.8,78.8,9.17
407,Port Lincoln,0,AU,1574558745,40,-34.72,135.86,66.47,66.47,8.55
408,Maneromango,75,TZ,1574558745,94,-7.2,38.78,77.0,77.0,1.12
409,Sortland,100,NO,1574558745,93,68.69,15.42,37.99,33.8,12.75
410,Tuatapere,18,NZ,1574558746,61,-46.13,167.69,60.01,60.01,23.0
411,Urengoy,17,RU,1574558746,97,65.96,78.37,-14.69,-14.69,9.42
412,Moron,9,HT,1574558746,74,18.56,-74.26,78.13,78.13,10.18
413,Manokwari,99,ID,1574558746,74,-0.87,134.08,79.48,79.48,4.25
414,Poum,0,MK,1574558747,90,41.28,20.71,39.61,39.61,5.03
415,Keroka,100,KE,1574558747,96,-0.78,34.95,58.3,58.3,1.41
416,Buraydah,0,SA,1574558747,87,26.33,43.97,59.0,59.0,3.36
417,Porto Velho,75,BR,1574558747,88,-8.75,-63.87,78.8,78.8,2.24
418,Bastia,75,IT,1574558747,82,44.6,8.98,59.0,43.0,8.05
419,Dhidhdhoo,69,MV,1574558528,77,6.88,73.1,82.49,82.49,16.24
420,Springfield,90,US,1574558518,69,42.1,-72.59,37.99,28.99,5.14
421,Mount Darwin,100,ZW,1574558748,89,-16.77,31.58,69.17,69.17,1.3
422,Bukene,100,TZ,1574558748,94,-4.23,32.89,65.57,65.57,5.19
423,Gat,2,SN,1574558748,64,14.69,-16.54,77.0,73.4,16.11
424,Kungurtug,11,RU,1574558748,79,50.6,97.53,-11.04,-11.04,3.74
425,Timon,30,BR,1574558749,62,-5.1,-42.84,84.2,84.2,2.24
426,Quatre Cocos,75,MU,1574558749,88,-20.21,57.76,77.0,77.0,6.78
427,Valparaiso,1,US,1574558749,91,41.47,-87.06,35.01,30.0,5.82
428,Nantucket,1,US,1574558749,65,41.28,-70.1,44.6,35.01,6.93
429,Brae,100,GB,1574558749,93,60.4,-1.35,46.4,46.4,20.8
430,Honningsvag,75,NO,1574558749,80,70.98,25.97,35.6,35.6,17.22
431,Thaba-Tseka,0,LS,1574558749,29,-29.52,28.61,49.84,49.84,3.76
432,Tabuk,100,PH,1574558750,87,17.41,121.44,75.81,75.81,1.79
433,Jackson,20,US,1574558750,74,43.48,-110.76,30.99,24.8,3.98
434,Qandala,26,SO,1574558750,82,11.47,49.87,77.68,77.68,10.42
435,Vanino,69,RU,1574558751,62,53.93,40.55,6.01,6.01,5.59
436,Tome,75,JP,1574558751,93,38.69,141.2,57.2,55.4,4.7
437,Luau,88,CD,1574558751,98,-10.7,22.23,63.95,63.95,2.64
438,Salvador,40,BR,1574558472,83,-12.98,-38.48,80.6,80.6,12.75
439,Greytown,51,ZA,1574558751,97,-29.06,30.59,60.67,60.67,3.74
440,Finschhafen,70,PG,1574558752,69,-6.6,147.85,81.37,81.37,10.94
441,Werdau,30,DE,1574558752,100,50.74,12.38,39.99,30.2,3.36
442,Sechura,100,PE,1574558752,85,-5.56,-80.82,67.87,67.87,15.41
443,Dingle,1,PH,1574558734,88,11.0,122.67,79.5,79.5,10.0
444,Morondava,92,MG,1574558752,74,-20.3,44.28,77.85,77.85,0.65
445,Thinadhoo,50,MV,1574558752,80,0.53,72.93,82.56,82.56,12.84
446,Doha,0,QA,1574558476,56,25.29,51.53,69.8,62.6,2.24
447,Astoria,90,US,1574558720,81,46.19,-123.83,50.0,44.01,10.8
448,Canutama,94,BR,1574558754,96,-6.53,-64.38,75.31,75.31,4.38
449,Santiago del Estero,82,AR,1574558642,40,-27.8,-64.26,83.57,83.57,12.08
450,San Luis,67,AR,1574558754,43,-33.3,-66.34,79.34,79.34,9.42
451,Bubaque,15,GW,1574558754,67,11.28,-15.83,83.3,83.3,13.69
452,Gerash,0,IR,1574558755,93,27.67,54.14,39.2,39.2,0.85
453,Botucatu,53,BR,1574558755,93,-22.89,-48.44,63.88,63.88,10.69
454,Pryazha,87,RU,1574558755,85,61.69,33.62,12.2,12.2,2.24
455,Toora-Khem,99,RU,1574558755,91,52.47,96.11,-6.25,-6.25,2.1
456,Tolbazy,90,RU,1574558755,92,54.01,55.89,21.2,19.0,8.95
457,Matay,0,EG,1574558755,65,28.42,30.79,58.32,58.32,8.88
458,Durban,50,CA,1574558756,84,51.93,-101.44,36.52,36.52,14.74
459,Ialibu,71,PG,1574558757,46,-6.28,143.99,71.96,71.96,4.5
460,Cheremukhovo,0,RU,1574558757,47,56.23,46.23,17.44,17.44,5.37
461,Ambulu,74,ID,1574558757,87,-8.35,113.61,78.37,78.37,3.36
462,Waipawa,0,NZ,1574558757,45,-39.94,176.59,78.01,78.01,15.01
463,Margate,75,AU,1574558758,34,-43.03,147.26,66.0,61.0,19.46
464,Rawlins,1,US,1574558758,74,41.79,-107.24,32.0,23.0,14.99
465,Parintins,88,BR,1574558758,89,-2.63,-56.73,76.06,76.06,2.48
466,Praia,40,BR,1574558758,88,-20.25,-43.81,68.0,68.0,5.82
467,Laredo,1,US,1574558725,49,27.51,-99.51,68.0,62.6,3.36
468,Ko Samui,20,TH,1574558718,74,9.54,99.94,84.2,84.2,8.39
469,Sergeyevka,100,KZ,1574558759,93,53.88,67.42,16.11,16.11,10.94
470,Siderno,75,IT,1574558759,82,38.28,16.3,66.99,62.01,10.29
471,Santiago de Cao,75,PE,1574558759,88,-7.96,-79.24,66.2,66.2,8.05
472,San Quintin,99,PH,1574558759,79,17.54,120.52,76.06,76.06,3.42
473,Pachino,100,IT,1574558759,88,36.72,15.09,62.6,53.01,12.75
474,Nizhniy Baskunchak,0,RU,1574558759,59,48.22,46.83,22.03,22.03,5.37
475,Atar,0,MR,1574558760,33,20.52,-13.05,69.35,69.35,8.32
476,Talnakh,23,RU,1574558760,76,69.49,88.39,-11.2,-11.2,6.71
477,Rurrenabaque,98,BO,1574558760,85,-14.44,-67.53,73.94,73.94,0.38
478,Portland,1,US,1574558695,50,43.66,-70.25,36.0,25.0,3.36
479,Nevelsk,40,RU,1574558761,87,46.67,141.86,44.6,44.6,6.71
480,Ixtapa,5,MX,1574558761,78,20.71,-105.21,80.6,80.01,5.82
481,Swan Hill,47,AU,1574558761,27,-35.34,143.56,74.28,74.28,1.77
482,Lincoln,75,GB,1574558761,93,53.23,-0.54,48.2,45.0,4.7
483,Monywa,0,MM,1574558762,83,22.12,95.13,67.93,67.93,3.96
484,Ruidoso,1,US,1574558762,56,33.33,-105.67,51.01,33.01,4.7
485,Fez,75,MA,1574558762,93,34.03,-5.02,53.6,53.6,6.93
486,Gariadhar,0,IN,1574558762,59,21.54,71.58,73.44,73.44,7.38
487,Zabaykalsk,74,CN,1574558763,83,49.64,117.33,-2.99,-2.99,13.85
488,Erenhot,0,CN,1574558763,44,43.65,111.97,10.4,10.4,16.62
489,Holalkere,26,IN,1574558763,92,14.04,76.18,64.58,64.58,9.33
490,Pangnirtung,78,CA,1574558763,81,66.15,-65.72,20.46,20.46,7.63
491,Touros,75,BR,1574558764,78,-5.2,-35.46,78.8,78.8,9.17
492,Lakes Entrance,43,AU,1574558764,65,-37.88,147.99,72.0,64.99,7.0
493,Marrakesh,40,MA,1574558764,87,31.63,-7.99,59.0,59.0,5.82
494,Bembereke,0,BJ,1574558764,40,10.23,2.66,78.67,78.67,3.33
495,Stulovo,95,RU,1574558764,85,55.85,38.31,21.2,10.4,2.24
496,Albion,1,US,1574558765,74,41.69,-98.0,39.0,33.8,7.9
497,Vokhtoga,96,RU,1574558765,48,58.81,41.03,19.0,19.0,4.16
498,Wajima,40,JP,1574558765,63,37.4,136.9,62.6,62.6,5.82
499,Taltal,0,CL,1574558765,83,-25.41,-70.49,59.36,59.36,2.01
500,Eugene,20,US,1574558765,86,44.05,-123.1,45.0,39.0,4.7
501,Atchison,1,US,1574558765,74,39.56,-95.12,41.0,36.0,8.05
502,Kapit,97,MY,1574558765,96,2.02,112.94,74.59,74.59,0.96
503,Huilong,100,CN,1574558766,83,31.15,106.5,53.62,53.62,11.21
504,Wadi Musa,0,JO,1574558766,59,30.32,35.48,46.26,46.26,2.24
505,Beira,34,ES,1574558766,93,43.2,-8.36,48.99,43.0,6.93
506,Puerto del Rosario,40,ES,1574558766,82,28.5,-13.86,66.2,66.2,9.17
507,Kaeo,2,NZ,1574558766,61,-35.1,173.78,86.0,78.01,10.51
508,Vao,31,EE,1574558767,54,59.1,26.19,24.01,24.01,5.68
509,Tutoia,33,BR,1574558767,83,-2.76,-42.27,78.26,78.26,6.53
510,Sharjah,0,AE,1574558767,60,25.36,55.39,69.8,60.8,6.93
511,Huazhou,0,CN,1574558767,82,21.65,110.64,66.97,66.97,5.84
512,Marzuq,0,YE,1574558767,65,14.4,46.47,65.07,65.07,1.79
513,Yangambi,100,CD,1574558767,98,0.77,24.47,68.11,68.11,1.7
514,Shelburne,1,CA,1574558767,80,44.08,-80.2,37.4,28.99,4.7
515,Aitape,100,PG,1574558768,72,-3.15,142.36,80.85,80.85,5.41
516,Umm Kaddadah,43,SD,1574558768,23,13.6,26.69,71.78,71.78,10.69
517,Paoua,97,CF,1574558768,39,7.24,16.43,71.82,71.82,2.75
518,Saint-Georges,70,CA,1574558768,80,46.12,-70.67,30.0,23.0,4.0
519,Luganville,75,VU,1574558769,58,-15.51,167.18,84.2,84.2,12.75
520,San Rafael,89,AR,1574558769,68,-34.61,-68.33,68.45,68.45,11.32
521,Quelimane,75,MZ,1574558769,83,-17.88,36.89,78.8,78.8,2.24
522,Nesoddtangen,90,NO,1574558769,100,59.86,10.66,41.0,35.01,5.82
523,Boyolangu,100,ID,1574558769,78,-8.09,111.9,79.63,79.63,4.94
524,Erdemli,100,TR,1574558770,47,36.61,34.31,65.66,65.66,17.02
525,Wanaka,34,NZ,1574558770,45,-44.7,169.14,60.01,60.01,10.45
526,Zhigansk,100,RU,1574558770,95,66.77,123.37,-17.99,-17.99,7.38
527,Bahua,100,IN,1574558770,58,25.85,80.63,67.08,67.08,6.24
528,Keflavik,100,IS,1574558771,100,64.0,-22.56,37.4,35.6,6.93
529,Wewak,100,PG,1574558771,81,-3.55,143.63,79.84,79.84,5.99
530,Lerwick,100,GB,1574558771,100,60.15,-1.15,46.4,46.4,25.28
531,Fairmount,1,US,1574558771,64,39.19,-94.94,41.0,37.0,8.39
532,Lebanon,90,US,1574558772,93,40.34,-76.42,37.99,34.0,3.36
533,Polunochnoye,52,RU,1574558772,92,60.87,60.43,18.73,18.73,3.56
534,Orcopampa,100,PE,1574558772,67,-15.27,-72.34,42.75,42.75,5.57
535,Broome,100,GB,1574558773,93,52.47,1.45,48.0,39.99,3.36
536,Manaure,75,CO,1574558773,74,11.78,-72.45,84.2,84.2,5.82
537,Gap,100,FR,1574558773,88,44.56,6.08,42.01,33.01,3.44
538,Flinders,90,AU,1574558773,56,-34.58,150.85,72.0,66.99,4.7
539,Uva,30,RU,1574558773,93,56.98,52.19,19.0,19.0,1.01
540,Sumbe,100,AO,1574558774,79,-11.2,13.84,73.96,73.96,4.97
541,Sisimiut,100,GL,1574558774,79,66.94,-53.67,26.67,26.67,13.33
542,Wyndham,90,GB,1574558774,100,51.61,-3.54,50.0,46.0,4.7
543,Nekhayevskiy,10,RU,1574558774,78,50.41,41.76,8.01,8.01,1.01
544,Raudeberg,89,NO,1574558774,75,61.99,5.14,43.0,41.0,6.93
545,Tambun,49,ID,1574558774,74,-6.26,107.07,90.0,84.2,4.7
546,Igrim,74,RU,1574558775,93,63.19,64.42,9.81,9.81,4.27
547,La Ronge,5,CA,1574558775,85,55.1,-105.3,41.0,41.0,10.29
548,Sao Sebastiao,14,BR,1574558775,75,-3.15,-58.36,77.63,77.63,2.77
549,Nishihara,75,JP,1574558775,88,35.74,139.53,66.99,59.0,6.93
550,Port Keats,16,AU,1574558775,54,-14.25,129.55,90.5,90.5,8.9
551,Barinas,69,VE,1574558775,84,8.64,-70.23,76.66,76.66,4.56
552,Fairview,40,CA,1574558776,78,56.07,-118.38,37.99,32.0,4.7
553,Kikwit,100,CD,1574558776,89,-5.04,18.82,70.23,70.23,0.92
554,Vestmannaeyjar,100,IS,1574558776,75,63.44,-20.27,42.08,42.08,9.28
555,Elko,1,US,1574558776,59,40.83,-115.76,39.99,30.0,3.36
